name,address,city,state,postal_code
"La Pasadita Hot Dogs","8243 W Indian School Rd",Phoenix,AZ,85303
"Tortilla Fish","4539 E Thomas Rd, Ste 105",Phoenix,AZ,85018
"Breadcrafters Bakery & Cafe","12635 N Tatum Blvd",Phoenix,AZ,85032
"Papa Murphy's","6825 N 16th St",Phoenix,AZ,85016
"La Flor De Calabaza","705 N 1st St, Ste 110",Phoenix,AZ,85004
"Lunch Box","2539 W Bethany Home Rd",Phoenix,AZ,85017
"Sano Brick Pizza","2170 E Baseline Rd, Ste 134",Phoenix,AZ,85042
"La Piñata","5521 N 7th Ave",Phoenix,AZ,85013
"Zam Zam World Foods","1638 N 40th St",Phoenix,AZ,85008
"Nori Sushi","21001 N Tatum Blvd, Ste 48",Phoenix,AZ,85050
"Pei Wei","267 E Bell Rd, Ste 1",Phoenix,AZ,85022
"Jason's Deli","10217 N Metro Pkwy W",Phoenix,AZ,85051
"Cold Stone Creamery","455 N 3rd St, Ste 120",Phoenix,AZ,85004
"Il Primo Pizza & Wings","16880 N Cave Creek Rd",Phoenix,AZ,85032
"Love Cuisine","3633 W Camelback Rd, Ste 7",Phoenix,AZ,85019
Culver's,"4506 E Cactus Rd",Phoenix,AZ,85032
"Ranch Burger","3102 N 16th St",Phoenix,AZ,85016
"Mancuso's Restaurant","201 E Washington St",Phoenix,AZ,85004
"Olive Garden Italian Restaurant","10223 N Metro Parkway E",Phoenix,AZ,85051
Gallagher's,"3220 E Baseline Rd",Phoenix,AZ,85042
"The Henry Coffee XV","4455 E Camelback Rd",Phoenix,AZ,85018
"Taco Guild","546 E Osborn Rd",Phoenix,AZ,85012
"CK's Tavern & Grill","4142 E Chandler Blvd",Phoenix,AZ,85048
"LongHorn Steakhouse","10047 N Metro Pkwy",Phoenix,AZ,85051
Starbucks,"4010 E Greenway Rd, Ste 100",Phoenix,AZ,85032
"Poppa Maize","15414 N 19th Ave, Ste P",Phoenix,AZ,85023
"Golden Moon Palace Restaurant","1408 W Van Buren St",Phoenix,AZ,85007
"Circle K","2401 E Indian School Rd",Phoenix,AZ,85016
Baskin-Robbins,"8841 N 19th Ave, Ste 101",Phoenix,AZ,85021
7-Eleven,"12033 N 28th Dr",Phoenix,AZ,85029
"Papa Murphy's","3320 W Bethany Home Rd",Phoenix,AZ,85017
